"filename","replicate","experiment","fraction"
"SAL71_cyto_13_14_20150618_OT.raw","Cyto-IEX","F13_14",1
"SAL71_cyto_15_16_20150618_OT.raw","Cyto-IEX","F15_16",1
"SAL71_cyto_17_18_20150618_OT.raw","Cyto-IEX","F17_18",1
"SAL71_cyto_19_20_20150618_OT.raw","Cyto-IEX","F19_20",1
"SAL71_cyto_21_22_20150618_OT.raw","Cyto-IEX","F21_22",1
"SAL71_cyto_23_24_20150618_OT.raw","Cyto-IEX","F23_24",1
"SAL71_cyto_25_26_20150618_OT.raw","Cyto-IEX","F25_26",1
"SAL71_cyto_27_28_20150618_OT.raw","Cyto-IEX","F27_28",1
"SAL71_cyto_29_30_20150618_OT.raw","Cyto-IEX","F29_30",1
"SAL71_cyto_31_32_20150618_OT.raw","Cyto-IEX","F31_32",1
"SAL71_cyto_33_34_20150618_OT.raw","Cyto-IEX","F33_34",1
"SAL71_cyto_35_36_20150618_OT.raw","Cyto-IEX","F35_36",1
"SAL71_cyto_37_38_20150618_OT.raw","Cyto-IEX","F37_38",1
"SAL71_cyto_39_40_20150618_OT.raw","Cyto-IEX","F39_40",1
"SAL71_cyto_41_42_20150618_OT.raw","Cyto-IEX","F41_42",1
"SAL71_cyto_43_44_20150618_OT.raw","Cyto-IEX","F43_44",1
"SAL71_cyto_45_46_20150618_OT.raw","Cyto-IEX","F45_46",1
"SAL71_cyto_47_48_20150618_OT.raw","Cyto-IEX","F47_48",1
"SAL71_cyto_49_50_20150618_OT.raw","Cyto-IEX","F49_50",1
"SAL71_mito_1_2_20150613_OT.raw","Mito-IEX","F01_02",1
"SAL71_mito_11_12_20150613_OT.raw","Mito-IEX","F11_12",1
"SAL71_mito_13_14_20150613_OT.raw","Mito-IEX","F13_14",1
"SAL71_mito_15_16_20150613_OT.raw","Mito-IEX","F15_16",1
"SAL71_mito_17_18_20150613_OT.raw","Mito-IEX","F17_18",1
"SAL71_mito_19_20_20150613_OT.raw","Mito-IEX","F19_20",1
"SAL71_mito_21_22_20150613_OT.raw","Mito-IEX","F21_22",1
"SAL71_mito_23_24_20150613_OT.raw","Mito-IEX","F23_24",1
"SAL71_mito_25_26_20150613_OT.raw","Mito-IEX","F25_26",1
"SAL71_mito_27_28_20150613_OT.raw","Mito-IEX","F27_28",1
"SAL71_mito_29_30_20150613_OT.raw","Mito-IEX","F29_30",1
"SAL71_mito_3_4_20150613_OT.raw","Mito-IEX","F03_04",1
"SAL71_mito_31_32_20150613_OT.raw","Mito-IEX","F31_32",1
"SAL71_mito_33_34_20150613_OT.raw","Mito-IEX","F33_34",1
"SAL71_mito_35_36_20150613_OT.raw","Mito-IEX","F35_36",1
"SAL71_mito_37_38_20150613_OT.raw","Mito-IEX","F37_38",1
"SAL71_mito_39_40_20150613_OT.raw","Mito-IEX","F39_40",1
"SAL71_mito_5_6_20150613_OT.raw","Mito-IEX","F05_06",1
"SAL71_mito_7_8_20150613_OT.raw","Mito-IEX","F07_08",1
"SAL71_mito_9_10_20150613_OT.raw","Mito-IEX","F09_10",1
